Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Rainy,City Road,Afternoon,2,30,4,1,Moderate,Icy,Motorcycle,39,30,Daylight,0
Snowy,City Road,Morning,2,30,3,0,Low,Dry,Car,58,47,Artificial Light,0
Rainy,City Road,Afternoon,0,120,1,0,Moderate,Dry,Car,49,14,Artificial Light,0
Foggy,Highway,Morning,2,100,2,0,Moderate,Icy,Motorcycle,34,18,Artificial Light,0
Rainy,Highway,Morning,1,50,5,0,Low,Dry,Truck,25,41,Daylight,0
Clear,Highway,Night,0,100,3,0,Low,Dry,Car,67,54,No Light,1
Clear,Highway,Night,0,100,2,0,Moderate,Wet,Motorcycle,38,14,Artificial Light,0
Clear,Rural Road,Afternoon,1,30,3,0,Low,Dry,Car,43,60,Artificial Light,1
Clear,City Road,Afternoon,2,100,5,0,Low,Wet,Car,33,54,No Light,0
Stormy,Rural Road,Morning,1,50,5,0,Low,Dry,Car,26,36,Daylight,1
Rainy,Highway,Evening,2,60,2,0,High,Under Construction,Car,58,62,Daylight,1
Rainy,Highway,Morning,2,80,3,0,Low,Under Construction,Car,31,62,Artificial Light,0
Clear,Highway,Afternoon,2,80,4,0,Moderate,Dry,Car,35,59,Artificial Light,0
Snowy,Highway,Night,1,80,3,0,Moderate,Dry,Car,63,25,Artificial Light,0
Rainy,City Road,Afternoon,1,30,1,0,Moderate,Wet,Car,23,34,Artificial Light,0
Clear,Highway,Morning,1,50,5,0,Low,Dry,Car,65,27,Artificial Light,0
Snowy,Mountain Road,Night,1,50,5,1,Low,Dry,Truck,18,38,Artificial Light,1
Snowy,Highway,Night,1,120,3,1,Low,Dry,Car,18,65,Artificial Light,0
Rainy,Mountain Road,Evening,0,50,4,0,Low,Under Construction,Car,27,50,Artificial Light,0
Snowy,Rural Road,Evening,2,80,10,0,Low,Wet,Car,40,47,Daylight,1
Rainy,City Road,Afternoon,2,30,4,0,Low,Icy,Car,69,45,Daylight,1
Rainy,City Road,Morning,2,50,3,0,Low,Wet,Car,23,62,Daylight,0
Foggy,Highway,Afternoon,0,60,4,0,Moderate,Icy,Truck,31,61,Artificial Light,0
Clear,Highway,Morning,1,50,3,0,Low,Dry,Car,62,26,Daylight,0
Foggy,City Road,Afternoon,1,80,3,0,Low,Dry,Car,48,66,Artificial Light,0
Rainy,Highway,Morning,1,30,1,0,Moderate,Dry,Truck,26,20,Daylight,0
Clear,Mountain Road,Evening,2,60,2,1,Moderate,Under Construction,Car,27,15,Artificial Light,1
Rainy,Rural Road,Morning,1,80,4,0,Moderate,Dry,Car,57,53,Artificial Light,0
Rainy,Highway,Afternoon,1,50,5,0,Moderate,Wet,Car,35,20,No Light,0
Foggy,Highway,Morning,2,100,5,1,Low,Dry,Car,41,21,Daylight,0
Rainy,Highway,Evening,0,80,3,0,Low,Wet,Car,50,37,Artificial Light,0
Clear,Highway,Afternoon,2,80,5,0,Low,Icy,Car,23,20,Daylight,1
Clear,Highway,Night,0,60,1,0,Moderate,Icy,Car,24,59,Artificial Light,1
Rainy,Rural Road,Morning,1,100,3,0,Moderate,Dry,Car,65,32,No Light,0
Stormy,Highway,Evening,2,60,4,0,Moderate,Dry,Car,60,48,Daylight,1
Foggy,Highway,Night,1,60,2,0,Low,Dry,Car,24,60,Daylight,1
Clear,City Road,Evening,1,30,4,0,Low,Dry,Truck,65,55,Artificial Light,0
Foggy,Highway,Afternoon,1,50,4,0,Low,Under Construction,Motorcycle,25,27,Artificial Light,0
Rainy,City Road,Morning,1,120,2,0,Moderate,Under Construction,Truck,69,36,Artificial Light,0
Foggy,Highway,Evening,1,60,5,1,Low,Icy,Car,36,19,Artificial Light,0
Clear,Highway,Morning,0,60,3,0,Low,Dry,Car,18,43,Artificial Light,1
Rainy,Highway,Morning,0,100,1,0,Low,Icy,Motorcycle,34,17,Artificial Light,0
Clear,City Road,Evening,1,50,1,0,Low,Dry,Car,64,25,Daylight,1
Clear,City Road,Afternoon,1,181,3,0,Low,Dry,Car,27,13,Artificial Light,1
Foggy,City Road,Evening,1,30,4,0,Moderate,Wet,Car,33,46,Artificial Light,0
Rainy,Highway,Evening,2,60,2,0,Moderate,Dry,Car,69,26,Artificial Light,1
Stormy,Highway,Night,1,60,3,0,Low,Dry,Truck,56,23,Artificial Light,0
Clear,Mountain Road,Morning,2,50,1,1,Low,Dry,Car,46,16,No Light,1
Stormy,City Road,Evening,0,80,2,0,Moderate,Dry,Car,28,17,Artificial Light,0
Snowy,Rural Road,Night,2,30,2,0,Low,Under Construction,Car,48,35,Artificial Light,0
Foggy,Highway,Night,2,50,3,0,Moderate,Dry,Car,50,14,No Light,0
Clear,City Road,Morning,0,120,1,1,Low,Under Construction,Car,43,66,Artificial Light,0
Snowy,Highway,Night,2,178,3,1,Moderate,Icy,Car,35,56,Daylight,1
Rainy,Rural Road,Afternoon,2,60,5,1,High,Under Construction,Car,59,42,Artificial Light,0
Rainy,Rural Road,Evening,1,60,1,0,Moderate,Wet,Car,43,52,Artificial Light,0
Clear,Highway,Morning,0,50,5,0,Low,Wet,Car,30,25,Artificial Light,1
Rainy,City Road,Afternoon,0,80,5,1,Low,Dry,Car,41,22,Artificial Light,0
Clear,Highway,Evening,0,60,5,0,Low,Dry,Car,27,58,Daylight,0
Clear,Rural Road,Afternoon,0,80,2,0,Low,Dry,Car,36,64,Artificial Light,1
Rainy,Highway,Afternoon,0,80,5,0,Moderate,Under Construction,Car,42,43,Artificial Light,1
Rainy,Rural Road,Night,1,30,1,0,Low,Wet,Bus,29,48,Daylight,1
Stormy,Highway,Morning,1,30,3,0,Low,Dry,Motorcycle,37,37,Artificial Light,0
Snowy,Highway,Evening,2,100,3,1,Low,Under Construction,Car,43,61,Daylight,0
Rainy,Highway,Afternoon,1,30,3,0,High,Under Construction,Car,43,46,Artificial Light,0
Clear,City Road,Afternoon,1,50,5,0,Low,Dry,Car,45,31,Daylight,0
Rainy,City Road,Morning,1,30,4,0,Low,Dry,Car,34,54,Artificial Light,0
Snowy,City Road,Night,1,100,4,0,High,Wet,Truck,56,51,Daylight,0
Foggy,Rural Road,Evening,1,80,2,0,Low,Icy,Car,31,25,Artificial Light,1
Foggy,City Road,Evening,1,100,1,0,Low,Under Construction,Car,27,39,Artificial Light,0
Clear,Highway,Night,2,50,4,0,Low,Under Construction,Car,42,16,Artificial Light,1
Foggy,Highway,Morning,2,80,3,0,Low,Dry,Car,53,25,Daylight,0
Clear,Highway,Afternoon,1,80,5,1,Moderate,Dry,Car,34,31,Daylight,0
Clear,Highway,Morning,1,60,5,0,Low,Under Construction,Car,27,13,Artificial Light,0
Clear,Highway,Afternoon,1,30,3,0,Low,Dry,Car,30,52,Artificial Light,1
Clear,Rural Road,Afternoon,0,60,1,0,Low,Under Construction,Car,42,39,Daylight,1
Rainy,Highway,Afternoon,1,60,2,0,Low,Wet,Motorcycle,53,58,Daylight,0
Snowy,City Road,Morning,0,80,10,0,Low,Icy,Car,46,55,Daylight,0
Clear,Highway,Afternoon,2,100,1,0,Low,Under Construction,Car,24,12,Artificial Light,0
Clear,Mountain Road,Afternoon,1,60,3,0,Low,Dry,Car,34,17,Artificial Light,0
Rainy,Rural Road,Afternoon,0,50,4,0,High,Dry,Truck,19,50,Daylight,0
Rainy,Highway,Morning,1,50,1,0,High,Wet,Car,28,27,Artificial Light,1
Rainy,City Road,Morning,2,60,5,0,Low,Wet,Car,34,51,Artificial Light,1
Clear,Highway,Night,1,30,5,0,Low,Dry,Motorcycle,19,13,No Light,0
Clear,Rural Road,Afternoon,1,80,1,0,Low,Under Construction,Motorcycle,43,20,Daylight,0
Snowy,Highway,Evening,2,80,1,0,Low,Wet,Bus,33,54,No Light,0
Clear,City Road,Night,0,60,3,1,Low,Dry,Motorcycle,69,25,Artificial Light,0
Clear,City Road,Morning,1,80,3,0,Moderate,Dry,Car,52,33,Daylight,1
Clear,City Road,Afternoon,0,50,3,0,Low,Wet,Car,45,23,Daylight,1
Snowy,Highway,Evening,1,50,3,1,Moderate,Wet,Car,24,11,Daylight,1
Clear,Highway,Afternoon,1,80,3,0,Moderate,Dry,Truck,18,54,Daylight,0
Clear,City Road,Evening,0,30,2,0,Low,Dry,Car,48,54,Daylight,1
Clear,Highway,Evening,0,60,3,1,Low,Icy,Car,28,28,No Light,0
Rainy,Mountain Road,Afternoon,2,60,5,0,Moderate,Dry,Car,20,27,Artificial Light,0
Rainy,City Road,Night,1,60,5,0,Low,Dry,Car,33,40,Artificial Light,0
Clear,Highway,Afternoon,1,50,2,1,Low,Dry,Car,37,39,No Light,0
Snowy,Highway,Afternoon,1,60,4,0,Low,Dry,Motorcycle,40,66,Artificial Light,1
Rainy,Highway,Evening,0,80,5,0,High,Icy,Car,24,45,Daylight,0
Foggy,Highway,Afternoon,0,60,3,0,Low,Icy,Car,32,17,Daylight,0
Clear,Highway,Night,0,50,5,0,Moderate,Wet,Car,26,19,Artificial Light,0
Clear,Mountain Road,Evening,2,120,3,1,Low,Dry,Car,22,15,Artificial Light,0
Clear,City Road,Evening,2,80,2,0,Low,Wet,Car,39,34,Daylight,0
Rainy,Highway,Night,0,50,3,0,Moderate,Icy,Car,30,63,Daylight,0
Clear,Highway,Afternoon,0,100,4,0,Low,Dry,Car,46,12,Daylight,0
Rainy,Rural Road,Morning,0,120,5,1,Low,Dry,Truck,67,59,Daylight,0
Rainy,Rural Road,Afternoon,2,120,5,0,High,Dry,Car,55,64,Daylight,0
Rainy,Rural Road,Evening,1,60,3,1,Moderate,Dry,Car,36,51,Artificial Light,1
Rainy,Highway,Afternoon,2,60,2,0,Low,Icy,Car,31,34,Artificial Light,0
Rainy,Rural Road,Evening,2,80,1,1,Low,Dry,Car,25,43,Artificial Light,0
Clear,City Road,Morning,1,100,4,0,Moderate,Dry,Car,36,39,Artificial Light,1
Foggy,Rural Road,Evening,1,50,3,0,Moderate,Dry,Car,47,30,Daylight,1
Snowy,Highway,Morning,2,60,2,1,Low,Icy,Motorcycle,33,41,Artificial Light,1
Snowy,Rural Road,Evening,0,60,2,0,High,Under Construction,Car,49,21,Daylight,0
Foggy,Highway,Morning,2,50,13,0,Moderate,Dry,Car,19,32,Daylight,0
Snowy,Highway,Afternoon,1,50,2,1,Low,Under Construction,Car,24,18,Artificial Light,0
Rainy,City Road,Night,2,100,2,1,Low,Dry,Car,28,17,Daylight,0
Snowy,Rural Road,Morning,1,30,4,0,Moderate,Dry,Car,20,33,Daylight,0
Clear,Rural Road,Morning,0,50,5,0,Low,Wet,Car,56,35,Artificial Light,0
Rainy,City Road,Afternoon,0,100,3,1,Low,Wet,Car,52,55,Artificial Light,0
Rainy,City Road,Afternoon,0,100,4,0,Low,Icy,Car,23,60,Artificial Light,0
Rainy,Highway,Morning,0,50,4,0,Low,Dry,Car,42,16,Daylight,0
Foggy,Highway,Morning,2,60,2,0,Moderate,Dry,Car,23,22,Artificial Light,0
Foggy,City Road,Morning,0,50,5,0,Low,Dry,Car,28,39,No Light,0
Snowy,Highway,Morning,2,80,1,0,Low,Dry,Car,28,45,Daylight,0
Snowy,Highway,Evening,1,60,4,0,Moderate,Icy,Car,55,64,No Light,1
Foggy,City Road,Morning,0,100,4,0,Low,Dry,Car,31,14,Artificial Light,0
Clear,City Road,Morning,0,30,2,0,Low,Dry,Car,59,39,Daylight,0
Stormy,Rural Road,Afternoon,1,100,1,0,Low,Dry,Car,69,34,Artificial Light,0
Rainy,Rural Road,Afternoon,1,30,4,0,Low,Under Construction,Truck,30,64,Daylight,0
Stormy,Highway,Afternoon,1,80,3,0,Low,Dry,Truck,27,23,Artificial Light,1
Clear,City Road,Afternoon,1,50,4,0,Low,Icy,Car,38,43,Artificial Light,0
Foggy,City Road,Evening,1,30,4,0,Low,Wet,Car,53,52,Artificial Light,1
Clear,Mountain Road,Morning,1,60,3,0,High,Dry,Car,23,47,Artificial Light,0
Foggy,City Road,Evening,2,100,3,0,Low,Under Construction,Car,27,53,Artificial Light,0
Foggy,Mountain Road,Morning,0,178,1,0,Low,Dry,Car,42,44,Artificial Light,1
Clear,Rural Road,Night,0,120,1,1,Low,Dry,Motorcycle,58,18,No Light,0
Rainy,City Road,Morning,2,100,4,0,Low,Icy,Motorcycle,64,43,Artificial Light,1
Clear,Mountain Road,Afternoon,0,100,4,0,Low,Icy,Car,42,48,Artificial Light,0
Clear,Highway,Afternoon,2,80,1,0,Low,Dry,Truck,31,18,Artificial Light,0
Rainy,Rural Road,Afternoon,1,80,3,0,Low,Icy,Car,41,30,Artificial Light,0
Clear,City Road,Evening,0,60,4,0,Low,Wet,Car,44,26,Artificial Light,1
Rainy,Highway,Afternoon,0,50,5,1,Low,Dry,Car,48,40,Daylight,0
Snowy,Rural Road,Evening,1,80,1,1,Moderate,Dry,Truck,63,23,Daylight,0
Foggy,Highway,Morning,1,50,2,0,Moderate,Wet,Car,65,65,Daylight,0
Snowy,City Road,Evening,2,30,4,0,Low,Dry,Car,50,45,Artificial Light,0
Foggy,Highway,Afternoon,2,50,4,0,High,Under Construction,Car,54,37,Daylight,0
Rainy,Rural Road,Night,2,60,2,0,Moderate,Icy,Truck,27,13,Artificial Light,0
Foggy,Highway,Morning,2,30,1,1,Low,Dry,Car,65,50,Artificial Light,1
Clear,City Road,Afternoon,1,50,3,0,Low,Dry,Truck,37,42,Artificial Light,0
Snowy,Rural Road,Evening,0,60,1,1,Low,Wet,Car,59,28,Daylight,1
Snowy,Highway,Afternoon,1,50,3,0,Low,Dry,Car,36,58,Artificial Light,0
Rainy,Rural Road,Evening,2,80,4,1,Moderate,Under Construction,Car,39,26,Artificial Light,1
Clear,Highway,Morning,1,60,2,0,Low,Dry,Car,68,55,No Light,0
Clear,Rural Road,Afternoon,2,100,3,0,Moderate,Wet,Truck,24,18,Artificial Light,0
Rainy,Highway,Morning,0,60,3,1,Low,Under Construction,Car,20,31,Daylight,1
Rainy,Rural Road,Evening,1,100,3,0,Low,Dry,Motorcycle,52,41,Artificial Light,0
Foggy,City Road,Evening,2,60,4,1,Low,Dry,Car,57,63,Daylight,1
Rainy,City Road,Morning,0,80,5,0,Low,Wet,Car,55,58,Artificial Light,0
Rainy,City Road,Night,1,100,2,1,Low,Icy,Car,51,47,Daylight,0
Rainy,City Road,Afternoon,0,50,5,0,High,Dry,Car,25,44,No Light,0
Clear,Highway,Afternoon,1,50,3,0,Moderate,Dry,Truck,19,55,No Light,0
Stormy,Highway,Afternoon,0,80,4,0,Low,Dry,Car,41,31,Artificial Light,0
Foggy,Rural Road,Evening,1,80,1,0,Low,Dry,Car,18,29,No Light,1
Clear,City Road,Afternoon,1,60,5,0,Moderate,Wet,Car,29,63,Artificial Light,0
Snowy,Highway,Morning,2,60,3,0,Low,Icy,Car,22,40,Daylight,1
Stormy,City Road,Afternoon,1,100,4,0,Low,Wet,Car,45,12,Artificial Light,0
Clear,Highway,Afternoon,1,60,2,0,Low,Dry,Car,68,62,Daylight,1
Rainy,Highway,Morning,1,60,3,0,Low,Dry,Car,29,41,Daylight,1
Clear,Highway,Morning,1,100,3,0,Moderate,Dry,Truck,32,57,Daylight,1
Clear,City Road,Morning,2,80,3,0,Low,Dry,Car,52,42,Artificial Light,0
Clear,City Road,Evening,0,30,3,1,High,Wet,Motorcycle,48,44,Daylight,0
Stormy,Rural Road,Morning,2,100,2,0,Low,Icy,Car,21,37,No Light,1
Clear,Highway,Afternoon,0,100,3,1,Low,Icy,Car,66,31,Artificial Light,0
Snowy,Mountain Road,Morning,2,50,1,0,Low,Under Construction,Car,46,41,Artificial Light,0
Foggy,City Road,Evening,2,60,1,1,Low,Dry,Car,22,51,Artificial Light,1
Clear,Highway,Morning,2,60,3,0,Moderate,Wet,Car,52,41,Artificial Light,0
Rainy,Highway,Afternoon,2,50,1,0,Low,Under Construction,Car,61,48,Artificial Light,0
Clear,Rural Road,Morning,1,60,2,0,High,Icy,Car,26,50,Artificial Light,1
Rainy,City Road,Afternoon,1,60,4,0,High,Dry,Car,35,26,No Light,1
Clear,Highway,Afternoon,1,80,3,0,Low,Dry,Truck,46,43,Artificial Light,0
Rainy,City Road,Night,1,60,4,0,Moderate,Under Construction,Car,66,33,No Light,0
Clear,Highway,Afternoon,0,80,4,0,Moderate,Dry,Car,65,27,Artificial Light,1
Snowy,City Road,Morning,1,60,1,0,Moderate,Wet,Car,67,32,Artificial Light,0
Clear,City Road,Afternoon,0,30,5,0,Moderate,Dry,Car,66,60,Artificial Light,0
Clear,Highway,Afternoon,2,120,1,0,High,Dry,Car,25,62,Daylight,0
Rainy,Highway,Afternoon,0,50,1,0,Low,Wet,Car,26,18,Daylight,1
Clear,Highway,Morning,0,50,1,0,Low,Under Construction,Truck,58,61,Daylight,0
Rainy,City Road,Evening,2,80,4,0,High,Icy,Car,36,67,Artificial Light,0
Foggy,Highway,Morning,0,100,1,1,Moderate,Dry,Car,42,38,Artificial Light,1
Clear,Highway,Evening,0,80,4,0,Low,Dry,Car,20,50,Daylight,1
Foggy,Rural Road,Evening,0,50,1,0,Low,Dry,Car,41,43,Artificial Light,0
Rainy,Rural Road,Evening,2,60,4,0,Moderate,Under Construction,Car,56,43,Daylight,1
Clear,City Road,Night,1,100,1,0,Moderate,Icy,Car,21,32,Artificial Light,0
Snowy,Mountain Road,Afternoon,1,60,5,0,Low,Wet,Car,48,22,Daylight,0
Clear,Highway,Night,1,60,2,1,Low,Icy,Car,19,40,Artificial Light,1
Clear,City Road,Afternoon,1,60,5,0,Low,Dry,Motorcycle,58,15,Daylight,1
Foggy,City Road,Morning,1,50,1,1,Low,Dry,Car,60,28,Artificial Light,0
Clear,City Road,Afternoon,2,60,4,0,Low,Wet,Car,59,39,No Light,0
Snowy,City Road,Night,1,80,3,1,Low,Dry,Car,29,54,Daylight,1
Snowy,Highway,Afternoon,0,50,4,0,Low,Wet,Car,65,32,Daylight,0
Clear,Highway,Afternoon,1,50,1,0,Low,Dry,Car,47,16,Artificial Light,0
Clear,Rural Road,Afternoon,1,100,3,1,Low,Under Construction,Motorcycle,37,41,Artificial Light,0
Clear,City Road,Morning,2,30,4,1,Low,Dry,Car,27,49,Artificial Light,1
Snowy,City Road,Evening,0,60,3,0,Low,Icy,Car,64,25,Daylight,0
Rainy,Rural Road,Morning,1,120,1,0,Low,Wet,Truck,26,40,Daylight,0
Rainy,City Road,Evening,2,100,2,0,Low,Dry,Truck,68,20,Artificial Light,0
Foggy,City Road,Night,1,80,3,1,Low,Wet,Truck,62,35,Daylight,0
Clear,Highway,Night,1,100,3,0,Moderate,Under Construction,Car,34,47,Artificial Light,1
Rainy,City Road,Evening,2,80,2,0,Low,Dry,Car,40,19,Daylight,0
Clear,City Road,Afternoon,1,50,3,0,Low,Icy,Motorcycle,68,24,Daylight,0
Foggy,Rural Road,Evening,1,80,3,0,Moderate,Dry,Car,25,58,Daylight,0
Rainy,Rural Road,Afternoon,2,50,1,0,Low,Dry,Car,37,46,Daylight,0
Snowy,Highway,Night,2,80,3,1,Moderate,Wet,Car,61,37,Artificial Light,0
Clear,Highway,Morning,1,100,5,0,Low,Icy,Car,46,41,Artificial Light,0
Clear,Highway,Morning,0,60,4,0,Low,Icy,Truck,37,30,Artificial Light,0
Clear,City Road,Afternoon,0,30,3,0,Low,Wet,Car,66,54,Daylight,0
Foggy,Highway,Afternoon,2,30,2,0,Low,Dry,Car,33,42,Daylight,1
Clear,Highway,Evening,1,80,3,0,Low,Dry,Truck,46,51,Artificial Light,0
Clear,Highway,Morning,1,50,5,0,High,Dry,Car,27,64,Artificial Light,0
Rainy,Rural Road,Night,2,60,3,0,Low,Dry,Car,39,62,Daylight,0
Foggy,Highway,Morning,0,60,4,1,Moderate,Dry,Car,35,49,Artificial Light,0
Snowy,City Road,Morning,1,100,3,0,Low,Under Construction,Truck,21,61,Artificial Light,1
Stormy,Highway,Afternoon,2,50,5,0,Low,Wet,Car,56,30,Artificial Light,1
Clear,Rural Road,Evening,1,80,1,0,Low,Icy,Car,29,44,Artificial Light,0
Rainy,Highway,Afternoon,1,50,5,0,Low,Dry,Truck,62,41,Daylight,1
Clear,City Road,Afternoon,0,60,2,0,Low,Icy,Car,61,54,Artificial Light,1
Rainy,Rural Road,Evening,1,80,3,0,Moderate,Icy,Bus,63,21,Artificial Light,1
Rainy,Highway,Evening,0,60,2,0,Moderate,Dry,Car,19,39,Artificial Light,0
Rainy,City Road,Afternoon,1,80,3,0,Low,Wet,Car,48,61,Artificial Light,0
Snowy,City Road,Morning,2,50,4,0,Low,Dry,Car,47,52,Daylight,0
Foggy,Highway,Morning,1,100,4,0,Low,Under Construction,Car,46,32,Artificial Light,0
Rainy,City Road,Night,0,50,1,0,Low,Dry,Car,67,17,Artificial Light,0
Rainy,City Road,Afternoon,1,208,4,1,Moderate,Dry,Motorcycle,52,53,Artificial Light,1
Clear,City Road,Evening,2,50,4,1,Moderate,Dry,Car,68,31,Daylight,0
Snowy,Rural Road,Afternoon,2,30,5,0,Moderate,Icy,Car,38,61,Artificial Light,0
Rainy,Rural Road,Afternoon,0,50,5,0,Low,Dry,Car,56,33,No Light,1
Snowy,City Road,Afternoon,1,50,5,1,Moderate,Under Construction,Car,18,26,Artificial Light,0
Clear,City Road,Afternoon,1,50,5,0,Low,Dry,Car,43,43,Daylight,0
Rainy,City Road,Morning,1,50,1,0,Moderate,Dry,Car,19,27,Daylight,1
Stormy,Rural Road,Evening,1,50,3,1,Low,Dry,Car,29,55,Artificial Light,0
Foggy,Highway,Evening,0,60,1,0,Moderate,Dry,Car,65,62,Artificial Light,0
Rainy,Highway,Evening,0,80,1,0,Moderate,Dry,Motorcycle,41,46,Daylight,0
Stormy,Highway,Evening,0,50,1,0,Low,Dry,Truck,67,41,Daylight,0
Snowy,City Road,Morning,0,60,5,0,Low,Dry,Car,66,32,Artificial Light,1
Foggy,Highway,Night,1,60,1,0,Moderate,Icy,Car,59,39,Artificial Light,0
Rainy,Highway,Evening,0,60,3,0,Low,Wet,Car,38,44,Artificial Light,0
Clear,Highway,Morning,2,100,3,0,Moderate,Under Construction,Truck,54,23,Daylight,0
Rainy,Highway,Afternoon,0,80,4,0,High,Under Construction,Car,53,39,Daylight,0
Rainy,City Road,Afternoon,2,80,5,0,Low,Wet,Car,59,29,Artificial Light,0
Foggy,Highway,Night,2,80,2,1,Moderate,Wet,Car,27,27,Daylight,0
Rainy,Highway,Morning,0,100,3,0,Low,Dry,Motorcycle,25,25,Daylight,1
Foggy,City Road,Afternoon,1,80,5,0,Moderate,Wet,Car,43,18,Daylight,0
Rainy,City Road,Afternoon,2,80,4,0,High,Dry,Car,48,22,Artificial Light,0
Foggy,Highway,Afternoon,2,120,1,0,Low,Under Construction,Car,33,34,Artificial Light,1
Rainy,Rural Road,Evening,0,100,3,0,Low,Dry,Car,24,62,Artificial Light,0
Clear,Highway,Night,1,100,2,0,Low,Icy,Car,66,58,Daylight,0
Rainy,City Road,Afternoon,0,30,4,0,Moderate,Dry,Car,59,34,Daylight,0
Rainy,Highway,Night,2,100,3,0,Low,Icy,Car,60,35,Artificial Light,1
Clear,City Road,Afternoon,0,60,3,0,Low,Icy,Car,40,36,Artificial Light,0
Clear,Highway,Afternoon,1,120,3,1,Low,Wet,Car,56,30,Artificial Light,0
Rainy,Rural Road,Morning,2,50,3,0,Low,Wet,Truck,32,27,Artificial Light,0
Foggy,Highway,Evening,2,30,1,0,Low,Dry,Truck,60,14,Daylight,1
Rainy,Highway,Morning,0,50,4,0,Low,Icy,Car,34,18,Artificial Light,1
Clear,City Road,Evening,0,30,2,1,Low,Wet,Car,62,50,Daylight,0
Foggy,Mountain Road,Morning,2,30,1,0,Low,Dry,Motorcycle,42,54,Daylight,0
Snowy,Highway,Night,2,60,2,0,Low,Icy,Car,46,57,Artificial Light,1
Clear,Highway,Morning,2,50,5,1,Low,Dry,Car,21,37,Daylight,0
Clear,Highway,Morning,1,30,3,0,Moderate,Wet,Car,69,25,Artificial Light,1
Clear,Highway,Evening,2,80,4,0,Low,Under Construction,Car,43,17,Daylight,1
Rainy,City Road,Morning,2,60,2,0,Low,Dry,Car,22,65,No Light,0
Foggy,Highway,Afternoon,1,50,5,0,Moderate,Wet,Motorcycle,46,52,No Light,0
Clear,City Road,Afternoon,2,30,4,0,Low,Under Construction,Car,55,43,Daylight,1
Clear,City Road,Morning,2,100,4,0,Moderate,Dry,Car,36,25,Daylight,0
Stormy,Rural Road,Morning,0,60,5,0,Low,Dry,Car,35,49,Daylight,0
Clear,Highway,Afternoon,2,120,14,0,Low,Dry,Car,38,22,Artificial Light,0
Snowy,Highway,Afternoon,2,50,1,1,Moderate,Icy,Car,29,40,Artificial Light,0
Foggy,Highway,Evening,2,30,5,0,Low,Icy,Car,29,61,Artificial Light,1
Rainy,Rural Road,Night,0,60,1,0,Low,Dry,Car,36,57,Artificial Light,0
Clear,Mountain Road,Evening,2,50,5,1,Moderate,Dry,Truck,23,27,Daylight,0
Rainy,City Road,Evening,0,100,3,0,Moderate,Under Construction,Car,38,33,Artificial Light,1
Clear,Mountain Road,Morning,2,30,5,0,Moderate,Icy,Car,64,40,Daylight,0
Stormy,Highway,Evening,1,60,3,1,Low,Icy,Car,50,14,Daylight,0
Clear,City Road,Evening,0,80,3,0,Low,Dry,Car,33,51,Daylight,0
Rainy,Highway,Morning,1,50,1,0,Low,Dry,Truck,54,40,Artificial Light,0
Foggy,Highway,Evening,0,120,5,0,Low,Dry,Car,66,34,Daylight,1
Clear,City Road,Afternoon,0,80,1,0,Moderate,Under Construction,Bus,58,17,Artificial Light,1
Clear,City Road,Afternoon,2,100,4,1,Low,Icy,Truck,26,24,No Light,0
Clear,Rural Road,Afternoon,1,30,1,0,Low,Dry,Car,24,36,Artificial Light,1
Clear,City Road,Evening,1,60,1,0,Low,Wet,Truck,54,30,No Light,0
Rainy,Highway,Night,1,100,1,0,Moderate,Wet,Motorcycle,66,60,Artificial Light,1
Clear,City Road,Afternoon,2,50,3,0,Low,Dry,Car,24,27,Daylight,0
Clear,Highway,Afternoon,0,50,3,0,Low,Dry,Car,63,31,Artificial Light,0
Snowy,City Road,Evening,2,60,1,0,Low,Under Construction,Car,36,36,Daylight,1
Clear,City Road,Morning,0,50,3,1,Moderate,Dry,Car,60,54,No Light,0
Rainy,Highway,Evening,1,60,3,0,Low,Dry,Car,68,31,Artificial Light,0
Snowy,Highway,Evening,0,60,5,1,Low,Wet,Truck,51,55,Artificial Light,0
Snowy,City Road,Night,1,50,5,0,Low,Under Construction,Truck,40,53,Artificial Light,0
Rainy,Highway,Afternoon,1,60,1,0,Low,Dry,Car,34,22,Daylight,0
Rainy,City Road,Evening,2,80,1,1,Moderate,Under Construction,Car,31,46,No Light,0
Rainy,City Road,Afternoon,2,30,5,0,Low,Dry,Truck,35,32,Daylight,1
Clear,Highway,Morning,2,100,5,0,Moderate,Dry,Car,28,33,Daylight,1
Clear,City Road,Afternoon,2,60,5,0,Low,Wet,Car,37,60,Daylight,0
Rainy,Highway,Evening,2,80,4,0,Moderate,Dry,Car,27,34,Daylight,0
Foggy,Highway,Afternoon,0,80,1,0,High,Dry,Car,48,51,Artificial Light,0
Clear,Highway,Afternoon,0,80,5,0,Low,Dry,Car,19,27,Artificial Light,1
Rainy,Rural Road,Afternoon,1,80,4,0,Moderate,Icy,Car,48,60,Daylight,0
Clear,Rural Road,Afternoon,1,80,3,0,Low,Dry,Car,56,64,Daylight,0
Foggy,Rural Road,Evening,1,60,2,0,High,Dry,Car,43,41,Artificial Light,0
Clear,Highway,Afternoon,0,60,3,0,Low,Dry,Car,52,42,Artificial Light,1
Clear,City Road,Evening,1,80,4,0,Low,Dry,Car,34,17,Daylight,0
